sample_id,split,stage,point,local_x,local_y,local_z,observed_x,observed_y,observed_z,target_x,target_y,target_z,final_target_x,final_target_y,final_target_z
train_00001,train,0,C3,150.0,-52.0944533000791,-295.4423259036624,1702.9347142513395,-64.98006329088902,52.03385685576018,,,,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,1,A1,150.0,272.9560403143369,99.34787393758417,-999.9847971682433,273.0531530617141,99.39477405991836,-1000.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,1,A2,0.0,-199.0241844506815,167.00111976792584,-1150.0077546477291,-199.0185913826917,167.05070355374812,-1150.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,1,A3,-150.0,-34.45724202946934,-195.41673027589673,-1300.0473330521925,-34.44655452777037,-195.3664159899388,-1300.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,1,B1,-300.0,281.9077862357725,102.60604299770061,-299.9924353387636,281.91053615943406,102.6398052985745,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,1,B2,0.0,-229.81333293569338,192.83628290596184,-0.009359430780375516,-229.8053776107627,192.8916534043782,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,1,B3,300.0,-52.0944533000791,-295.4423259036624,299.9909014554567,-52.13538106942351,-295.3567340652645,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,1,C1,-150.0,281.9077862357725,102.60604299770061,1000.0218015239742,281.9437271868986,102.54529230950834,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,1,C2,0.0,-229.81333293569338,192.83628290596184,1150.0039366786,-229.81091499705545,192.7815988904904,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,1,C3,150.0,-52.0944533000791,-295.4423259036624,1299.980453986297,-52.051213577836464,-295.54123595855447,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,2,A1,150.0,272.9560403143369,99.34787393758417,-749.9995017824237,273.0061292207812,99.36963249485608,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,2,A2,0.0,-199.0241844506815,167.00111976792584,-900.059686195624,-198.9595507619392,167.05636613323725,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,2,A3,-150.0,-34.45724202946934,-195.41673027589673,-1049.9394650991082,-34.41141432445067,-195.43831260981275,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,2,B1,-300.0,281.9077862357725,102.60604299770061,-300.01217231392127,281.88909430170054,102.59136772713815,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,2,B2,0.0,-229.81333293569338,192.83628290596184,0.05128169161792154,-229.76447842919677,192.9375173063316,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,2,B3,300.0,-52.0944533000791,-295.4423259036624,300.02088922713057,-52.09311692693124,-295.4448924468508,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,2,C1,-150.0,281.9077862357725,102.60604299770061,999.9613462155457,281.94104382904794,102.4755896254155,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,2,C2,0.0,-229.81333293569338,192.83628290596184,1150.0235601075947,-229.7477910714697,192.7912248896654,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,2,C3,150.0,-52.0944533000791,-295.4423259036624,1299.9745656860612,-52.06746748254798,-295.52715892078345,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,3,A1,150.0,272.9560403143369,99.34787393758417,-750.0079488006317,273.0100018111474,99.34897273772351,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,3,A2,0.0,-199.0241844506815,167.00111976792584,-900.0854607122974,-199.00977183553798,166.9904321128741,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,3,A3,-150.0,-34.45724202946934,-195.41673027589673,-1050.0250383661632,-34.3433974987798,-195.47462125422854,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,3,B1,-300.0,281.9077862357725,102.60604299770061,-299.98775703252807,281.89325016621143,102.5872596297628,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,3,B2,0.0,-229.81333293569338,192.83628290596184,0.02112607007246709,-229.76856606012703,192.90750112477858,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,3,B3,300.0,-52.0944533000791,-295.4423259036624,300.0370119290087,-52.04329009905357,-295.39392760966535,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,3,C1,-150.0,281.9077862357725,102.60604299770061,749.9954900432294,281.9792134586525,102.6369195889248,750.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,3,C2,0.0,-229.81333293569338,192.83628290596184,900.1139317269539,-229.75579139214415,192.85126678327762,900.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,3,C3,150.0,-52.0944533000791,-295.4423259036624,1050.0277010612986,-52.064823510812396,-295.3692352941044,1050.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,4,A1,150.0,272.9560403143369,99.34787393758417,-749.9921659536701,272.9300913177581,99.38213622986451,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,4,A2,0.0,-199.0241844506815,167.00111976792584,-899.9991555949962,-199.00322469834265,167.016043698649,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,4,A3,-150.0,-34.45724202946934,-195.41673027589673,-1050.037652003806,-34.48209966490719,-195.3922891952573,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,4,B1,-300.0,281.9077862357725,102.60604299770061,-300.0664337087737,281.8850710530551,102.59578703500529,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,4,B2,0.0,-229.81333293569338,192.83628290596184,-0.013804690775376195,-229.81610920910168,192.8767150054723,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,4,B3,300.0,-52.0944533000791,-295.4423259036624,299.963674458994,-52.16677285211973,-295.4197913103216,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,4,C1,-150.0,281.9077862357725,102.60604299770061,750.0094764086047,281.94388987395183,102.55312163602726,750.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,4,C2,0.0,-229.81333293569338,192.83628290596184,900.0504699677788,-229.70244340874376,192.80319485557197,900.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,4,C3,150.0,-52.0944533000791,-295.4423259036624,1050.0078722698174,-52.04371166696567,-295.4798233209444,1050.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,0,A1,150.0,272.9560403143369,99.34787393758417,-1352.23483425636,428.77927369643163,-226.5798506634984,,,,-750.0,272.9560403143369,99.34787393758417
train_00002,train,0,A2,0.0,-199.0241844506815,167.00111976792584,-1445.2133309541714,-52.19932225194466,-127.02311951331795,,,,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,0,A3,-150.0,-34.45724202946934,-195.41673027589673,-1609.573558615677,68.03445890938316,-500.4780250345296,,,,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,0,B1,-300.0,281.9077862357725,102.60604299770061,-508.15281466021224,620.0552260602723,99.85361548068192,,,,-300.0,281.9077862357725,102.60604299770061
train_00002,train,0,B2,0.0,-229.81333293569338,192.83628290596184,-338.85148019679923,112.25862908559371,370.8677798983606,,,,0.0,-229.81333293569338,192.83628290596184
train_00002,train,0,B3,300.0,-52.0944533000791,-295.4423259036624,21.379606589638986,66.03580133252377,-106.78695654994956,,,,300.0,-52.0944533000791,-295.4423259036624
train_00002,train,0,C1,-150.0,281.9077862357725,102.60604299770061,1265.607542201167,67.52435946937736,49.79159175717353,,,,750.0,281.9077862357725,102.60604299770061
train_00002,train,0,C2,0.0,-229.81333293569338,192.83628290596184,1438.2733126856795,-427.5159088241552,-82.90134387856523,,,,900.0,-229.81333293569338,192.83628290596184
train_00002,train,0,C3,150.0,-52.0944533000791,-295.4423259036624,1523.105669899898,-65.34739400178167,-475.4709759279508,,,,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,1,A1,150.0,272.9560403143369,99.34787393758417,-999.9886255359448,272.94030471255024,99.34764283928583,-1000.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00002,train,1,A2,0.0,-199.0241844506815,167.00111976792584,-1149.9131143474717,-199.0309125750504,166.97181582053932,-1150.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,1,A3,-150.0,-34.45724202946934,-195.41673027589673,-1299.9653754287278,-34.44522877940658,-195.3903229065332,-1300.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,1,B1,-300.0,281.9077862357725,102.60604299770061,-299.9810314706561,281.97639450705867,102.60832178863386,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00002,train,1,B2,0.0,-229.81333293569338,192.83628290596184,0.007938340973885322,-229.74280401661454,192.8385550068198,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00002,train,1,B3,300.0,-52.0944533000791,-295.4423259036624,299.97802758373587,-52.162245157782756,-295.46484327948826,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00002,train,1,C1,-150.0,281.9077862357725,102.60604299770061,1000.0684827442723,281.8921245692271,102.53559021480952,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00002,train,1,C2,0.0,-229.81333293569338,192.83628290596184,1150.0858810798313,-229.82931813269502,192.77791261496606,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00002,train,1,C3,150.0,-52.0944533000791,-295.4423259036624,1299.9519555876416,-52.0584833462942,-295.55725549278156,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,2,A1,150.0,272.9560403143369,99.34787393758417,-749.9522963875972,273.0712755343827,99.37506240149631,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00002,train,2,A2,0.0,-199.0241844506815,167.00111976792584,-900.0566077633492,-198.80948768315298,167.10671967756156,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,2,A3,-150.0,-34.45724202946934,-195.41673027589673,-1050.0072455301831,-34.283838208589586,-195.25206986564126,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,2,B1,-300.0,281.9077862357725,102.60604299770061,-300.0456768478066,281.9653989949842,102.60352801842119,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00002,train,2,B2,0.0,-229.81333293569338,192.83628290596184,-0.017801900777310968,-229.73689160708423,192.8228503402596,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00002,train,2,B3,300.0,-52.0944533000791,-295.4423259036624,300.0018127065528,-52.046994059846924,-295.4626929679757,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00002,train,2,C1,-150.0,281.9077862357725,102.60604299770061,1000.0605043206015,281.99768138453516,102.56545318296679,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
